Geo Point;Name;Name (en);Name (fr);IATA code;ICAO code;Wikipedia id;Wikidata id;Website;Phone;Operator;Description;Edit in OSM;Source;other_tags;Country;Country code
17.9359078,-76.7840389;Norman Manley International Airport;;;KIN;MKJP;;Q1432206;;;NMIA Airports Limited;;https://www.openstreetmap.org/edit?node=22888427;wikipedia;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""3"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0646\u0648\u0631\u0645\u0627\u0646 \u0645\u0627\u0646\u0644\u064a \u0627\u0644\u062f\u0648\u0644\u064a"", ""name:de"": ""Flughafen Norman Manley International"", ""name:es"": ""Aeropuerto Internacional Norman Manley"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0628\u06cc\u0646\u200c\u0627\u0644\u0645\u0644\u0644\u06cc \u0646\u0648\u0631\u0645\u0646 \u0645\u0627\u0646\u0644\u06cc"", ""type"": ""public""}";Jamaica;JM
13.4109259,103.8126857;អាកាសយានដ្ឋាន​អន្តរជាតិ​សៀមរាប;Siem Reap International Airport;Aéroport International de Siem Reap-Angkor;REP;VDSR;en:Siem Reap International Airport;Q1054472;https://rep.cambodia-airports.aero/;+855 (0)63 962 400;Cambodia Airport Management Services;;https://www.openstreetmap.org/edit?node=26749066;wikipedia;"{""addr:street"": ""\u1795\u17d2\u179b\u17bc\u179c\u1787\u17b6\u178f\u17b7\u179b\u17c1\u1781\u17e6"", ""aerodrome"": ""international"", ""aerodrome:type"": ""military/public"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Siem Reap"", ""email"": ""mailto:repllxh@cambodia-airports.aero"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""is_in"": ""Siem Reap,Cambodia"", ""name:zh"": ""\u66b9\u7c92(Siem Reap)\u56fd\u9645\u673a\u573a""}";Cambodia;KH
-26.1360108,28.2454726;O.R. Tambo International Airport;OR Tambo International Airport;;JNB;FAOR;en:O. R. Tambo International Airport;Q821750;;;Airports Company South Africa;;https://www.openstreetmap.org/edit?node=27657491;Gagravarr_Airports;"{""aerodrome"": ""international"", ""aerodrome:type"": ""international;public"", ""aeroway"": ""aerodrome"", ""ele"": ""1694"", ""ifr"": ""yes"", ""internet_access"": ""yes"", ""is_in"": ""Johannesburg,Gauteng,South Africa"", ""licensed:sacaa"": ""yes"", ""name:it"": ""Aeroporto Internazionale di Johannesburg \""Oliver Reginald Tambo\"""", ""old_icao"": ""FAJS"", ""old_name:1"": ""Jan Smuts International Airport"", ""old_name:2"": ""Johannesburg International Airport"", ""operator:type"": ""private"", ""passengers"": ""18795000"", ""variation"": ""18W 2009""}";South Africa;ZA
55.536215,13.3705634;Malmö Airport;Malmö Airport;;MMX;ESMS;sv:Malmö Airport;Q898922;https://www.swedavia.com/malmo/;;Swedavia;;https://www.openstreetmap.org/edit?node=28923106;wikipedia;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Sturup"", ""closest_town"": ""Malm\u00f6"", ""ele"": ""72"", ""ref:se:pts:postort"": ""MALM\u00d6-STURUP"", ""type"": ""public""}";Sweden;SE
48.2363471,14.1910243;Flughafen Linz-Hörsching;Linz Airport;;LNZ;LOWL;de:Flughafen Linz;Q700852;;;Flughafen Linz GesmbH;;https://www.openstreetmap.org/edit?node=29566108;plan.at 2009;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Linz"", ""contact:email"": ""info@linz-airport.com"", ""contact:fax"": ""+43 7221 600100"", ""contact:phone"": ""+43 7221 6000"", ""ele"": ""299"", ""int_name"": ""Blue Danube Airport Linz"", ""name:de"": ""Flughafen Linz-H\u00f6rsching"", ""name:es"": ""Aeropuerto de Linz"", ""name:fi"": ""Linzin lentoasema"", ""name:it"": ""Aeroporto di Linz"", ""name:ms"": ""Lapangan Terbang Linz"", ""name:nl"": ""Luchthaven Linz"", ""name:pl"": ""Port lotniczy Linz"", ""name:sl"": ""Letali\u0161\u010de Linz"", ""passengers"": ""1900000"", ""ref"": ""LOWL"", ""wikimedia_commons"": ""Category:Linz Airport"", ""wikipedia:en"": ""Linz Airport""}";Austria;AT
0.4576792,101.4431043;Bandar Udara Internasional Sultan Syarif Kasim II;Sultan Syarif Kasim II International Airport;;PKU;WIBB;id:Bandar Udara Internasional Sultan Syarif Kasim II;Q938233;http://www.sultansyarifkasim2-airport.co.id/;+62 761 674694;PT Angkasa Pura II;;https://www.openstreetmap.org/edit?node=30674099;http://www.angkasapura2.co.id/;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""37"", ""fax"": ""+62 761 674827"", ""int_name"": ""Sultan Syarif Kasim II International Airport"", ""old_name"": ""Bandara Simpang Tiga"", ""ref"": ""PKU""}";;
41.7855709,-87.7507611;Chicago Midway International Airport;;;MDW;KMDW;en:Midway International Airport;Q1061437;;;Chicago Department of Aviation;;https://www.openstreetmap.org/edit?node=32480814;;"{""addr:city"": ""Chicago"", ""addr:housenumber"": ""5700"", ""addr:postcode"": ""60638"", ""addr:state"": ""IL"", ""addr:street"": ""South Cicero Avenue"", ""aerodrome"": ""public"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""airport_ref"": ""MDW"", ""ele"": ""185"", ""gnis:county_name"": ""Cook"", ""gnis:created"": ""09/01/1992"", ""gnis:feature_id"": ""427159"", ""gnis:feature_type"": ""Airport"", ""international_flights"": ""yes"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""ref"": ""KMDW""}";United States of America;US
44.8265659,10.2961497;"Aeroporto di Parma ""Giuseppe Verdi""";Parma Airport;;PMF;LIMP;en:Parma Airport;Q1432326;;;Società Gestione Aeroporto Parma S.p. A.;;https://www.openstreetmap.org/edit?node=32881516;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Parma"", ""ele"": ""49"", ""is_in"": ""IT"", ""local_ref"": ""PR03"", ""name:etymology:wikidata"": ""Q7317"", ""type"": ""public""}";Italy;IT
11.5468532,104.8450359;អាកាសយានដ្ឋាន​អន្តរជាតិ​ភ្នំពេញ;Phnom Penh International Airport;Aéroport International de Phnom Penh;PNH;VDPP;en:Phnom Penh International Airport;Q1054163;https://pnh.cambodia-airports.aero/;+855 (0)23 862 800;Cambodia Airports;;https://www.openstreetmap.org/edit?node=37370396;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""military/public"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Phnom Penh"", ""ele"": ""12"", ""email"": ""pnhllxh@cambodia-airports.aero"", ""is_in"": ""Phnom Penh,Cambodia"", ""name:km"": ""\u17a2\u17b6\u1780\u17b6\u179f\u1799\u17b6\u1793\u178a\u17d2\u178b\u17b6\u1793\u200b\u17a2\u1793\u17d2\u178f\u179a\u1787\u17b6\u178f\u17b7\u200b\u1797\u17d2\u1793\u17c6\u1796\u17c1\u1789"", ""name:vi"": ""S\u00e2n bay Qu\u1ed1c t\u1ebf Phnom Penh"", ""name:zh-Hans"": ""\u91d1\u8fb9\u56fd\u9645\u673a\u573a"", ""name:zh-Hant"": ""\u91d1\u908a\u570b\u969b\u6a5f\u5834"", ""old_name:en"": ""Pochentong International Airport"", ""old_name:km"": ""\u17a2\u17b6\u1780\u17b6\u179f\u1799\u17b6\u1793\u178a\u17d2\u178b\u17b6\u1793\u17a2\u1793\u17d2\u178f\u179a\u1787\u17b6\u178f\u17b7\u1796\u17c4\u1792\u17b7\u17cd\u1785\u17b7\u1793\u178f\u17bb\u1784"", ""operator:type"": ""private"", ""ref"": ""VDPP""}";Cambodia;KH
43.9038565,87.4775735;乌鲁木齐地窝铺国际机场;Ürümqi Diwopu International Airport;Aéroport international d'Ürümqi Diwopu;URC;ZWWW;en:Ürümqi Diwopu International Airport;Q765650;;;;;https://www.openstreetmap.org/edit?node=37426993;"Bing;eAIP;NAIP";"{""addr:city"": ""\u4e4c\u9c81\u6728\u9f50\u5e02"", ""addr:housenumber"": ""1341\u53f7"", ""addr:postcode"": ""830016"", ""addr:province"": ""\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"", ""addr:street"": ""\u8fce\u5bbe\u8def"", ""aerodrome"": ""international"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name:ru"": ""A\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0423\u0440\u0443\u043c\u0447\u0438"", ""ele"": ""648"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0623\u0648\u0631\u0648\u0645\u062a\u0634\u064a \u0627\u0644\u062f\u0648\u0644\u064a"", ""name:de"": ""Flughafen \u00dcr\u00fcmqi-Diwopu"", ""name:es"": ""Aeropuerto Internacional de Urumchi-Diwopu"", ""name:eu"": ""\u00dcr\u00fcmqi Diwopu nazioarteko aireportua"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0628\u06cc\u0646\u200c\u0627\u0644\u0645\u0644\u0644\u06cc \u0627\u0648\u0631\u0648\u0645\u0686\u06cc \u062f\u06cc\u0648\u0648\u067e\u0648"", ""name:fi"": ""\u00dcr\u00fcmqi Diwopun kansainv\u00e4linen lentoasema"", ""name:hi"": ""\u0909\u0930\u0941\u092e\u094d\u091a\u0940 \u0926\u0940\u0935\u094b\u092a\u0941 \u0905\u0902\u0924\u0930\u0930\u093e\u0937\u094d\u091f\u094d\u0930\u0940\u092f \u0939\u0935\u093e\u0908 \u0905\u0921\u094d\u0921\u093e"", ""name:id"": ""Bandar Udara Internasional Diwopu Urumqi"", ""name:it"": ""Aeroporto di \u00dcr\u00fcmqi-Diwopu"", ""name:ja"": ""\u30a6\u30eb\u30e0\u30c1\u5730\u7aa9\u5821\u56fd\u969b\u7a7a\u6e2f"", ""name:ko"": ""\uc6b0\ub8e8\ubb34\uce58 \ub514\uc6cc\ud478 \uad6d\uc81c\uacf5\ud56d"", ""name:ms"": ""Lapangan Terbang Diwopu"", ""name:nl"": ""Internationale Luchthaven \u00dcr\u00fcmqi Diwopu"", ""name:no"": ""\u00dcr\u00fcmqi Diwopu internasjonale lufthavn"", ""name:pl"": ""Port lotniczy \u00dcr\u00fcmqi-Diwopu"", ""name:pt"": ""Aeroporto Internacional de \u00dcr\u00fcmqi Diwopu"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0414\u0438\u0432\u043e\u043f\u0443"", ""name:sk"": ""Medzin\u00e1rodn\u00e9 letisko Urum\u010di Ti-wo-pchu"", ""name:tg"": ""\u0424\u0443\u0440\u0443\u0434\u0433\u043e\u04b3\u0438 \u0431\u0438\u043d\u200c\u0430\u043b\u043c\u0438\u043b\u0430\u043b\u04e3 \u043e\u0432\u0440\u0443\u043c\u0447\u0438 \u0434\u044e\u0432\u043f\u0443"", ""name:ug"": ""\u0626\u06c8\u0631\u06c8\u0645\u0686\u0649 \u062f\u0649\u06cb\u0648\u067e\u06c7 \u062e\u06d5\u0644\u0642\u0626\u0627\u0631\u0627 \u0626\u0627\u064a\u0631\u0648\u067e\u0648\u0631\u062a\u0649"", ""name:vi"": ""S\u00e2n bay qu\u1ed1c t\u1ebf Diwopu \u00dcr\u00fcmqi"", ""note"": ""FIXME - S perimeter is very much guessed \u6807\u6ce8aerodrome=international\u662f\u4e3a\u4e86\u5728\u516c\u5171\u4ea4\u901a\u5730\u56fe\u56fe\u5c42\u663e\u793a\u8be5\u673a\u573a"", ""size"": ""11000000"", ""type"": ""public""}";People's Republic of China;CN
11.1565552,-4.3355464;Bobo-Dioulasso Airport;;;BOY;DFOO;en:Bobo Dioulasso Airport;Q598661;;;;;https://www.openstreetmap.org/edit?node=37689129;;"{""IFR"": ""yes"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""barrier"": ""wall"", ""name:ar"": ""\u0628\u0648\u0628\u0648 \u062f\u064a\u0648\u0644\u0627\u0633\u0648""}";Burkina Faso;BF
38.1769866,13.1007781;Aeroporto di Palermo Falcone e Borsellino;Palermo International Airport;;PMO;LICJ;it:Aeroporto di Palermo-Punta Raisi;Q630645;;;;;https://www.openstreetmap.org/edit?node=39537616;yahoo_wms;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Aeroporto di Palermo Punta Raisi"", ""ele"": ""20"", ""local_ref"": ""PA03"", ""name:it"": ""Aeroporto di Palermo Falcone e Borsellino"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u041f\u0430\u043b\u0435\u0440\u043c\u043e \u041f\u0443\u043d\u0442\u0430 \u0420\u0430\u0439\u0437\u0438"", ""start_date"": ""1960"", ""type"": ""public"", ""wikipedia:en"": ""Palermo_International_Airport""}";Italy;IT
43.0962276,6.1498611;Aéroport de Toulon-Hyères;;;TLN;LFTH;fr:Aéroport de Toulon-Hyères;Q543189;;;CCI du Var;;https://www.openstreetmap.org/edit?node=42019347;;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""2"", ""is_in"": ""FR"", ""ref"": ""TLN"", ""type"": ""public""}";France;FR
42.5546214,9.4822981;Aéroport international de Bastia-Poretta;International airport of Bastia-Poretta;Aéroport international de Bastia-Poretta;BIA;LFKB;en:Bastia – Poretta Airport;Q1430951;;;;;https://www.openstreetmap.org/edit?node=42019348;Union européenne - SOeS, CORINE Land Cover, 2006.;"{""CLC:code"": ""124"", ""CLC:id"": ""FR-268974"", ""CLC:year"": ""2006"", ""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""barrier"": ""fence"", ""name:es"": ""Aeropuerto internacional de Bastia-Poretta"", ""ref"": ""BIA""}";France;FR
56.7446893,60.8035843;Аэропорт Кольцово;Koltsovo Airport;;SVX;USSS;ru:Кольцово (аэропорт);Q1334495;;;;;https://www.openstreetmap.org/edit?node=43102086;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Yekaterinburg"", ""contact:phone"": ""+7-343-2644202"", ""contact:website"": ""http://www.koltsovo.ru/"", ""ele"": ""233"", ""int_name"": ""Aeroport Koltsovo"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u041a\u043e\u043b\u044c\u0446\u043e\u0432\u043e"", ""official_name"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0415\u043a\u0430\u0442\u0435\u0440\u0438\u043d\u0431\u0443\u0440\u0433 (\u041a\u043e\u043b\u044c\u0446\u043e\u0432\u043e) \u0438\u043c\u0435\u043d\u0438 \u0410.\u041d.\u0414\u0435\u043c\u0438\u0434\u043e\u0432\u0430"", ""operator:en"": ""Koltsovo International Airport""}";Russia;RU
40.6327558,8.2909667;Aeroporto Internazionale di Alghero-Fertilia;Alghero - Fertilia Airport;;AHO;LIEA;it:Aeroporto di Alghero-Fertilia;Q1321390;http://www.aeroportodialghero.it/;+39 079 935282;Sogeaal S.p.a.;;https://www.openstreetmap.org/edit?node=46428171;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""military/public"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Alghero-Riviera del Corallo"", ""closest_city"": ""Alghero"", ""ele"": ""27"", ""email"": ""algheroairport@sogeaal.it"", ""fax"": ""+39 079 935219"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""local_ref"": ""SS02"", ""name:be"": ""\u041c\u0456\u0436\u043d\u0430\u0440\u043e\u0434\u043d\u044b \u0430\u044d\u0440\u0430\u043f\u043e\u0440\u0442 \u0410\u043b\u044c\u0433\u0435\u0440\u0430-\u0424\u0435\u0440\u0442\u044b\u043b\u044c\u044f"", ""name:ca"": ""Aeroport de l'Alguer"", ""name:sc"": ""Aeroportu de S'Alighera-Fert\u00eclia"", ""phone_1"": ""+39 079 935011"", ""start_date"": ""1938""}";Italy;IT
37.4674234,15.0652965;Aeroporto di Catania Fontanarossa;Catania-Fontanarossa Airport;;CTA;LICC;it:Aeroporto di Catania-Fontanarossa;Q540273;http://aeroporto.catania.it/;;;;https://www.openstreetmap.org/edit?node=48069171;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""ele"": ""13"", ""local_ref"": ""CT03"", ""name:it"": ""Aeroporto di Catania Fontanarossa"", ""official_name"": ""Aeroporto di Catania Fontanarossa Vincenzo Bellini"", ""type"": ""public""}";Italy;IT
57.6630308,12.2842194;Göteborg Landvetter Airport;Gothenburg Landvetter Airport;Aéroport de Göteborg-Landvetter;GOT;ESGG;sv:Landvetter flygplats;Q1137115;https://www.swedavia.com/landvetter/;;Swedavia;;https://www.openstreetmap.org/edit?node=50587885;;"{""addr:postcode"": ""438 80"", ""addr:street"": ""Flygplatsv\u00e4gen"", ""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Landvetter Flygplats"", ""contact:phone"": ""+46 31 941000"", ""ele"": ""154.4"", ""email"": ""info@landvetterairport.se"", ""fax"": ""+46 10 10 93 111"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""internet_access:ssid"": ""Airport-Guest"", ""name:sv"": ""G\u00f6teborg Landvetter Airport"", ""operator:type"": ""government""}";Sweden;SE
